 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 Path    6      icalc       2
 -----------------------------------------------------------------------
   3  20.000   3.2202    1.9020    5.79009 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
     0.0000    1.2149    1.6696  1   6 C     
     0.7141   -0.9828    1.6696  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  4.400  1.9374E+00  8.5867E-03 -1.7987E+01  1.193E+00  6.0640E+00  4.9551E+00
  4.600  1.8614E+00  7.2082E-03 -1.8068E+01  1.178E+00  6.1640E+00  5.1219E+00
  4.800  1.7826E+00  6.4296E-03 -1.8081E+01  1.166E+00  6.2926E+00  5.2917E+00
  5.000  1.7015E+00  6.2456E-03 -1.8088E+01  1.154E+00  6.4447E+00  5.4641E+00
  5.200  1.6176E+00  6.4525E-03 -1.8144E+01  1.144E+00  6.6164E+00  5.6390E+00
  5.400  1.5303E+00  6.7856E-03 -1.8261E+01  1.133E+00  6.8052E+00  5.8159E+00
  5.600  1.4403E+00  7.1267E-03 -1.8430E+01  1.123E+00  7.0088E+00  5.9948E+00
  5.800  1.3474E+00  7.3784E-03 -1.8636E+01  1.114E+00  7.2257E+00  6.1755E+00
  6.000  1.2527E+00  7.5468E-03 -1.8867E+01  1.104E+00  7.4545E+00  6.3576E+00
  6.500  1.0150E+00  7.6456E-03 -1.9498E+01  1.079E+00  8.0727E+00  6.8188E+00
  7.000  7.8907E-01  7.3338E-03 -2.0140E+01  1.055E+00  8.7481E+00  7.2868E+00
  7.500  5.8527E-01  6.6086E-03 -2.0742E+01  1.034E+00  9.4730E+00  7.7601E+00
  8.000  4.0072E-01  5.5192E-03 -2.1282E+01  1.020E+00  1.0242E+01  8.2375E+00
  8.500  2.2118E-01  4.2537E-03 -2.1759E+01  1.007E+00  1.1052E+01  8.7182E+00
  9.000  3.5267E-02  3.0556E-03 -2.2187E+01  9.939E-01  1.1899E+01  9.2016E+00
  9.500 -1.5485E-01  2.0900E-03 -2.2563E+01  9.816E-01  1.2782E+01  9.6872E+00
 10.000 -3.3651E-01  1.3968E-03 -2.2827E+01  9.698E-01  1.3699E+01  1.0175E+01
 11.000 -6.5656E-01  9.3998E-04 -2.2802E+01  9.543E-01  1.5627E+01  1.1154E+01
 12.000 -9.5674E-01  1.0433E-03 -2.3111E+01  9.482E-01  1.7675E+01  1.2137E+01
 13.000 -1.2442E+00  8.4331E-04 -2.3744E+01  9.420E-01  1.9836E+01  1.3123E+01
 14.000 -1.4938E+00  5.9845E-04 -2.4384E+01  9.390E-01  2.2104E+01  1.4112E+01
 15.000 -1.7348E+00  3.2965E-04 -2.4704E+01  9.386E-01  2.4475E+01  1.5103E+01
 16.000 -1.9584E+00  2.4901E-04 -2.4389E+01  9.372E-01  2.6945E+01  1.6095E+01
 17.000 -2.1588E+00  2.7535E-04 -2.4759E+01  9.379E-01  2.9510E+01  1.7088E+01
 18.000 -2.3554E+00  2.3841E-04 -2.5248E+01  9.383E-01  3.2167E+01  1.8082E+01
 19.000 -2.5324E+00  1.6151E-04 -2.5586E+01  9.384E-01  3.4914E+01  1.9077E+01
 20.000 -2.6995E+00  1.2745E-04 -2.5178E+01  9.392E-01  3.7748E+01  2.0072E+01
